iter	Logloss
0	0.6903999404
1	0.6864655035
2	0.6837602155
3	0.681379832
4	0.6786937645
5	0.6749389712
6	0.6729193087
7	0.6696710092
8	0.6662304809
9	0.6631299711
10	0.6612516051
11	0.6584940108
12	0.6553403503
13	0.6527748946
14	0.6512230302
15	0.6490437544
16	0.6468706316
17	0.6449859774
18	0.6427993683
19	0.6402129761
20	0.6373880095
21	0.6353864434
22	0.6337659648
23	0.6306831918
24	0.6291312328
25	0.6262249423
26	0.6240120303
27	0.6210899709
28	0.6191569368
29	0.6176636872
30	0.6163056405
31	0.6137760434
32	0.6112683456
33	0.6088090705
34	0.6068224982
35	0.6040578785
36	0.6010791022
37	0.5989862995
38	0.5969638084
39	0.5935309779
40	0.5910987302
41	0.589431426
42	0.5868201343
43	0.5842849641
44	0.5819476313
45	0.5795690471
46	0.5782009136
47	0.5759604369
48	0.5739816726
49	0.5727131953
50	0.5709576381
51	0.5687595058
52	0.5671838796
53	0.5654430153
54	0.563751939
55	0.5607687226
56	0.5591736251
57	0.5575805977
58	0.555233954
59	0.5525867039
60	0.5503552946
61	0.5485798578
62	0.5456174914
63	0.5440507696
64	0.5425388663
65	0.5398037506
66	0.5383807634
67	0.5369442168
68	0.5349552059
69	0.5337229886
70	0.5313682154
71	0.5302265327
72	0.5286061528
73	0.5268060777
74	0.5252949917
75	0.5233543737
76	0.5219173079
77	0.5205806686
78	0.5188020574
79	0.5171969834
80	0.5159187572
81	0.5140720213
82	0.5114681365
83	0.5095131469
84	0.5084839727
85	0.5074383949
86	0.5060753264
87	0.503950501
88	0.5032172937
89	0.5021959517
90	0.5009339202
91	0.4993649641
92	0.4977535348
93	0.496426051
94	0.4951196142
95	0.4936907897
96	0.4927014468
97	0.490924103
98	0.4898867937
99	0.4888203579
100	0.4875605449
101	0.4856395482
102	0.4847921099
103	0.4834498592
104	0.4823965499
105	0.4798966915
106	0.4785408793
107	0.477772103
108	0.4765173655
109	0.4755095356
110	0.4742660963
111	0.472278954
112	0.4702802048
113	0.4691875826
114	0.4674713443
115	0.465759787
116	0.4645417369
117	0.4633265271
118	0.4612999609
119	0.4602118684
120	0.4593390183
121	0.4580693104
122	0.4566714551
123	0.4546296198
124	0.4529689396
125	0.4518939254
126	0.4504985105
127	0.4496921054
128	0.4473575271
129	0.4459842359
130	0.4438504122
131	0.4429373257
132	0.4420368602
133	0.4401955882
134	0.4386587044
135	0.4378933803
136	0.4363176005
137	0.435079126
138	0.4340858922
139	0.4327546332
140	0.4320316087
141	0.4312986964
142	0.4300339359
143	0.4288312514
144	0.4275977134
145	0.4269843566
146	0.426113373
147	0.4245948491
148	0.4235750238
149	0.4227219174
150	0.4219444369
151	0.4211956671
152	0.4201074752
153	0.4190114327
154	0.4179512691
155	0.4162979217
156	0.4146876982
157	0.4137664208
158	0.4119526868
159	0.4108719691
160	0.4100848418
161	0.409143643
162	0.4073304826
163	0.406461048
164	0.4056465056
165	0.4045657261
166	0.4036591431
167	0.4017292238
168	0.4007338677
169	0.3995592316
170	0.3984201699
171	0.3977239351
172	0.3966254665
173	0.3955929517
174	0.3950527712
175	0.3944035239
176	0.3936815937
177	0.3930859219
178	0.3918420825
179	0.3911718439
180	0.3905274338
181	0.3901107022
182	0.3890817829
183	0.3882081986
184	0.3871805074
185	0.3865194951
186	0.3858585643
187	0.385180266
188	0.3844887804
189	0.383886004
190	0.3832351773
191	0.3825826796
192	0.3818848953
193	0.3807373374
194	0.3794195698
195	0.378534344
196	0.3775087826
197	0.3766969767
198	0.3758819068
199	0.3750661571
200	0.3744536249
201	0.3738684828
202	0.3728985395
203	0.3721397883
204	0.3714140235
205	0.370866268
206	0.3697977909
207	0.3691855595
208	0.3683985444
209	0.3674531119
210	0.3669996073
211	0.3657965714
212	0.365121005
213	0.364264392
214	0.3634687895
215	0.3629634397
216	0.3622284217
217	0.3616806668
218	0.3612483545
219	0.3607052299
220	0.3598421797
221	0.3589377746
222	0.3576793124
223	0.3572523166
224	0.3566064683
225	0.3557866052
226	0.355158884
227	0.3548082195
228	0.354350049
229	0.3538844755
230	0.3530723271
231	0.3524720946
232	0.3517367393
233	0.3511550171
234	0.3506243842
235	0.3499230314
236	0.3492774395
237	0.3488026325
238	0.348056761
239	0.3475650768
240	0.3470148268
241	0.3465053853
242	0.3458774545
243	0.3451484039
244	0.3442372089
245	0.3438876262
246	0.3431407078
247	0.3420517266
248	0.3412713168
249	0.3404364178
250	0.3399056888
251	0.339412868
252	0.3390174343
253	0.3386010663
254	0.3380894742
255	0.3376300599
256	0.3372275683
257	0.3365348245
258	0.3360142493
259	0.3354115704
260	0.3350600619
261	0.3346454001
262	0.3339689067
263	0.3332767192
264	0.3328223907
265	0.3322098162
266	0.3316183539
267	0.3308624263
268	0.3299015271
269	0.3289319998
270	0.3284014747
271	0.3276829076
272	0.3266624174
273	0.3259962392
274	0.3252074903
275	0.3247637362
276	0.3241596805
277	0.3237186462
278	0.3229480464
279	0.3224279054
280	0.3218945806
281	0.3214231832
282	0.3204611937
283	0.3199508878
284	0.3194686129
285	0.3188732996
286	0.3184162336
287	0.3179751577
288	0.3175193867
289	0.3170581443
290	0.316493496
291	0.3159319471
292	0.3155136414
293	0.3151743285
294	0.3148393566
295	0.313751494
296	0.3132424839
297	0.3125061904
298	0.3118490516
299	0.3114980463
300	0.310992096
301	0.3103442212
302	0.3098648784
303	0.3094178219
304	0.3090139314
305	0.3087512433
306	0.3083404225
307	0.3076332793
308	0.3072562738
309	0.3067227652
310	0.3062681844
311	0.3056429359
312	0.3050250625
313	0.304762677
314	0.3043970955
315	0.3039162665
316	0.3035215184
317	0.3030740718
318	0.3028638791
319	0.3022608131
320	0.3019555189
321	0.3015179703
322	0.3010760453
323	0.300513834
324	0.2996487049
325	0.299168032
326	0.298530079
327	0.297931429
328	0.2974120275
329	0.2970221611
330	0.2966815427
331	0.296265138
332	0.2959809987
333	0.2956490511
334	0.2952500936
335	0.2947099037
336	0.2943442293
337	0.293908226
338	0.2931335638
339	0.2924635116
340	0.2921079604
341	0.2916441131
342	0.2908002085
343	0.2904573802
344	0.2901273994
345	0.2898339622
346	0.2892993741
347	0.2891211667
348	0.2886600819
349	0.2882922121
350	0.2879338121
351	0.2874007764
352	0.2870092345
353	0.2864479086
354	0.2858078331
355	0.2853166447
356	0.2849832541
357	0.2847060186
358	0.283946051
359	0.2836630022
360	0.2834425037
361	0.2829948283
362	0.2825463026
363	0.2822315317
364	0.2818325263
365	0.2812764398
366	0.280977991
367	0.2804052243
368	0.2799368282
369	0.2793097294
370	0.2788483906
371	0.2782989109
372	0.277980587
373	0.277640278
374	0.2771659618
375	0.2766753678
376	0.2763203082
377	0.2757623671
378	0.2755996986
379	0.2752490046
380	0.2743074364
381	0.273862229
382	0.2735328956
383	0.2729710319
384	0.2725947165
385	0.2722943377
386	0.2720868759
387	0.2717549797
388	0.271446312
389	0.2710600736
390	0.2706660373
391	0.2703597575
392	0.2699191491
393	0.2695971993
394	0.2690889115
395	0.2686247978
396	0.2682067652
397	0.2679533038
398	0.2674394605
399	0.2668714549
400	0.2665287546
401	0.2660936128
402	0.2657784353
403	0.2654805394
404	0.265098063
405	0.264677715
406	0.2640033599
407	0.2638390022
408	0.2635637413
409	0.2633230197
410	0.2630693251
411	0.2626236161
412	0.2622614029
413	0.2619164511
414	0.2614941731
415	0.2609485089
416	0.2606591553
417	0.2599869373
418	0.2595513164
419	0.2589426603
420	0.2586254298
421	0.2583240031
422	0.2580048174
423	0.2575426349
424	0.257231105
425	0.2567838837
426	0.2565044043
427	0.2562086797
428	0.2559508322
429	0.2557082253
430	0.2551880416
431	0.2548709316
432	0.2547124842
433	0.2543823648
434	0.2541565133
435	0.2537640207
436	0.2535455276
437	0.2531702813
438	0.2526925577
439	0.2523148243
440	0.252000114
441	0.2516523461
442	0.251389837
443	0.2511910763
444	0.2508616609
445	0.2505748585
446	0.2502455837
447	0.2500344494
448	0.2497263994
449	0.2494451412
450	0.2491067496
451	0.2488603883
452	0.2487014577
453	0.2482162172
454	0.2477801425
455	0.2476310773
456	0.247274665
457	0.2470433604
458	0.2467000766
459	0.2464960851
460	0.2462484303
461	0.2459200126
462	0.2456538083
463	0.2454224645
464	0.2450070144
465	0.2446648928
466	0.2444379495
467	0.2442232876
468	0.2440690655
469	0.2437902973
470	0.2434557855
471	0.2430376747
472	0.2427615834
473	0.2424175991
474	0.2420751294
475	0.2417166275
476	0.2414273821
477	0.241255122
478	0.2407447744
479	0.2404492159
480	0.2401690329
481	0.2398326581
482	0.2396601314
483	0.239501203
484	0.2388812534
485	0.2385670261
486	0.2382210805
487	0.2379851611
488	0.2377048381
489	0.2373524413
490	0.2370356393
491	0.236556844
492	0.2362885407
493	0.2360019377
494	0.2356660482
495	0.2352632828
496	0.2348878762
497	0.2342255836
498	0.2339453286
499	0.233578552
500	0.2333650427
501	0.2331395054
502	0.232764204
503	0.23239843
504	0.2322205596
505	0.2320652378
506	0.2317286515
507	0.231346273
508	0.231079059
509	0.230672783
510	0.2303981858
511	0.2301658688
512	0.2297835902
513	0.2295139467
514	0.2292339747
515	0.2288517573
516	0.2286150497
517	0.2282865338
518	0.2281245
519	0.228034611
520	0.2277668426
521	0.2274588251
522	0.2269862738
523	0.2267957122
524	0.2263539114
525	0.2261876986
526	0.2259836978
527	0.2256684688
528	0.2253958545
529	0.2251934194
530	0.2250536975
531	0.2247971657
532	0.2245175775
533	0.2242770837
534	0.2239677686
535	0.2237660145
536	0.2235556841
537	0.2232523851
538	0.2230280082
539	0.2229276397
540	0.2227777082
541	0.2224163164
542	0.222173922
543	0.2219897701
544	0.2216627926
545	0.2212546758
546	0.2210107473
547	0.2207544686
548	0.220604957
549	0.2203993267
550	0.220029177
551	0.2196654143
552	0.2194088882
553	0.2189853217
554	0.2186381991
555	0.2184434113
556	0.2181825803
557	0.217917735
558	0.2176082474
559	0.2174764437
560	0.2172535194
561	0.2169832863
562	0.2164704349
563	0.2162069015
564	0.215813092
565	0.2155823937
566	0.2153400186
567	0.2149680818
568	0.2147449551
569	0.214545652
570	0.2142265591
571	0.2138893175
572	0.2137110295
573	0.2135315117
574	0.2131757842
575	0.2129232131
576	0.2126391799
577	0.2124493935
578	0.212314685
579	0.2121761436
580	0.2119015638
581	0.2116250878
582	0.2114116108
583	0.2111066048
584	0.2107841392
585	0.2106002304
586	0.2102440757
587	0.2100805722
588	0.2098888162
589	0.2096680991
590	0.2091629461
591	0.2089552327
592	0.2086101812
593	0.2082717876
594	0.2080604058
595	0.2077299907
596	0.2074833423
597	0.2071443626
598	0.2069114803
599	0.2066538078
600	0.2065044362
601	0.2063574648
602	0.2060663919
603	0.2058776192
604	0.2056349533
605	0.2053206267
606	0.205156575
607	0.2049398339
608	0.2047618891
609	0.2042801991
610	0.2040520753
611	0.2037943402
612	0.2036136156
613	0.2033717548
614	0.203221326
615	0.2030759561
616	0.2028659158
617	0.2027139281
618	0.2024597761
619	0.2021308667
620	0.2017513108
621	0.2015195349
622	0.2013136332
623	0.2010700246
624	0.2008970263
625	0.2006382534
626	0.2003017685
627	0.199792041
628	0.1995126193
629	0.1992926789
630	0.1989899233
631	0.1987860401
632	0.1986195978
633	0.1983556106
634	0.1980353423
635	0.1978019899
636	0.1974836408
637	0.197170931
638	0.1969889243
639	0.1967677467
640	0.1964283256
641	0.1962687357
642	0.1960805654
643	0.1957927762
644	0.1955779068
645	0.195325133
646	0.1950845171
647	0.1948185793
648	0.1943306757
649	0.1941368122
650	0.1938683692
651	0.1935824758
652	0.1933824517
653	0.1931868625
654	0.1929887651
655	0.192715932
656	0.1924242816
657	0.1923004453
658	0.1920850158
659	0.1918892152
660	0.1915974541
661	0.1913997185
662	0.1911078891
663	0.1908967546
664	0.1906623615
665	0.1904953808
666	0.1902598264
667	0.1901700645
668	0.1900606947
669	0.1897038082
670	0.1893773161
671	0.1892469071
672	0.1890863828
673	0.1887130184
674	0.1883271922
675	0.1881164562
676	0.1879539306
677	0.1876690726
678	0.1874770641
679	0.1873692262
680	0.1872004144
681	0.1870235589
682	0.1867792148
683	0.1865759934
684	0.1864085849
685	0.1861846193
686	0.1859119116
687	0.1857204055
688	0.185488743
689	0.1853485161
690	0.1851321389
691	0.1849489149
692	0.1848043206
693	0.1845080791
694	0.1843335654
695	0.184189171
696	0.1840492332
697	0.1837032121
698	0.1834605415
699	0.1833383584
700	0.1831281334
701	0.1829443587
702	0.1827494181
703	0.1825576611
704	0.1823867996
705	0.1822042555
706	0.1819419129
707	0.1817503994
708	0.1815768072
709	0.1813921466
710	0.1812126393
711	0.1810424528
712	0.1809019114
713	0.1805792842
714	0.1804660538
